@ID,ACCOUNT.NUMBER,BOOKING.DATE,VALUE.DATE,AMOUNT,TRANSACTION.CODE,TRANS.REFERENCE
SFT080000001,2001623,20260510,20260510,-2579999,2,FT0800000
SFT080000002,2002276,20260510,20260510,2579999,1,FT0800000
SFT080000101,2003342,20260510,20260510,-3777246,2,FT0800001
SFT080000102,2000290,20260510,20260510,3777246,1,FT0800001
SFT080000201,2000678,20260510,20260510,-2553667,2,FT0800002
SFT080000202,2000929,20260510,20260510,2553667,1,FT0800002
SFT080000301,2002716,20260510,20260510,-92459,2,FT0800003
SFT080000302,2000787,20260510,20260510,92459,1,FT0800003
SFT080000401,2002618,20260510,20260510,-2514283,2,FT0800004
SFT080000402,2000756,20260510,20260510,2514283,1,FT0800004
SFT080000501,2003347,20260510,20260510,-752654,2,FT0800005
SFT080000502,2001312,20260510,20260510,752654,1,FT0800005
SFT080000601,2001335,20260510,20260510,-4771911,2,FT0800006
SFT080000602,2000618,20260510,20260510,4771911,1,FT0800006
SFT080000701,2002825,20260510,20260510,-3051265,2,FT0800007
SFT080000702,2003053,20260510,20260510,3051265,1,FT0800007
SFT080000801,2001748,20260510,20260510,-3277435,2,FT0800008
SFT080000802,2002217,20260510,20260510,3277435,1,FT0800008
SFT080000901,2002467,20260510,20260510,-784907,2,FT0800009
SFT080000902,2001951,20260510,20260510,784907,1,FT0800009
SFT080001001,2000283,20260510,20260510,-2599847,2,FT0800010
SFT080001002,2001487,20260510,20260510,2599847,1,FT0800010
SFT080001101,2002284,20260510,20260510,-891288,2,FT0800011
SFT080001102,2002258,20260510,20260510,891288,1,FT0800011
SFT080001201,2002125,20260510,20260510,-4104571,2,FT0800012
SFT080001202,2002837,20260510,20260510,4104571,1,FT0800012
SFT080001301,2003214,20260510,20260510,-1364209,2,FT0800013
SFT080001302,2003289,20260510,20260510,1364209,1,FT0800013
SFT080001401,2002421,20260510,20260510,-4682918,2,FT0800014
SFT080001402,2002823,20260510,20260510,4682918,1,FT0800014
SFT080001501,2000068,20260510,20260510,-1568254,2,FT0800015
SFT080001502,2000082,20260510,20260510,1568254,1,FT0800015
SFT080001601,2001307,20260510,20260510,-4967023,2,FT0800016
SFT080001602,2002052,20260510,20260510,4967023,1,FT0800016
SFT080001701,2003174,20260510,20260510,-1321185,2,FT0800017
SFT080001702,2002529,20260510,20260510,1321185,1,FT0800017
SFT080001801,2001806,20260510,20260510,-3601681,2,FT0800018
SFT080001802,2000646,20260510,20260510,3601681,1,FT0800018
SFT080001901,2001346,20260510,20260510,-4121785,2,FT0800019
SFT080001902,2000964,20260510,20260510,4121785,1,FT0800019
SFT080002001,2002358,20260510,20260510,-2435559,2,FT0800020
SFT080002002,2000872,20260510,20260510,2435559,1,FT0800020
SFT080002101,2001178,20260510,20260510,-65576,2,FT0800021
SFT080002102,2002633,20260510,20260510,65576,1,FT0800021
SFT080002201,2001318,20260510,20260510,-4252920,2,FT0800022
SFT080002202,2002405,20260510,20260510,4252920,1,FT0800022
SFT080002301,2000279,20260510,20260510,-4808609,2,FT0800023
SFT080002302,2001885,20260510,20260510,4808609,1,FT0800023
SFT080002401,2001080,20260510,20260510,-3904114,2,FT0800024
SFT080002402,2000416,20260510,20260510,3904114,1,FT0800024
SFT080002501,2002745,20260510,20260510,-2610440,2,FT0800025
SFT080002502,2000051,20260510,20260510,2610440,1,FT0800025
SFT080002601,2002971,20260510,20260510,-1375509,2,FT0800026
SFT080002602,2000426,20260510,20260510,1375509,1,FT0800026
SFT080002701,2002182,20260510,20260510,-3286853,2,FT0800027
SFT080002702,2002850,20260510,20260510,3286853,1,FT0800027
SFT080002801,2000417,20260510,20260510,-1272978,2,FT0800028
SFT080002802,2001268,20260510,20260510,1272978,1,FT0800028
SFT080002901,2003122,20260510,20260510,-254107,2,FT0800029
SFT080002902,2002961,20260510,20260510,254107,1,FT0800029
SFT080003001,2001845,20260510,20260510,-160527,2,FT0800030
SFT080003002,2002880,20260510,20260510,160527,1,FT0800030
SFT080003101,2001405,20260510,20260510,-3087917,2,FT0800031
SFT080003102,2002107,20260510,20260510,3087917,1,FT0800031
SFT080003201,2001470,20260510,20260510,-2471850,2,FT0800032
SFT080003202,2002844,20260510,20260510,2471850,1,FT0800032
SFT080003301,2001745,20260510,20260510,-3832669,2,FT0800033
SFT080003302,2002046,20260510,20260510,3832669,1,FT0800033
SFT080003401,2002414,20260510,20260510,-3121468,2,FT0800034
SFT080003402,2000961,20260510,20260510,3121468,1,FT0800034
SFT080003501,2001199,20260510,20260510,-1004891,2,FT0800035
SFT080003502,2000845,20260510,20260510,1004891,1,FT0800035
SFT080003601,2002112,20260510,20260510,-4382113,2,FT0800036
SFT080003602,2001722,20260510,20260510,4382113,1,FT0800036
SFT080003701,2002412,20260510,20260510,-991790,2,FT0800037
SFT080003702,2001774,20260510,20260510,991790,1,FT0800037
SFT080003801,2002954,20260510,20260510,-3132748,2,FT0800038
SFT080003802,2001908,20260510,20260510,3132748,1,FT0800038
SFT080003901,2001901,20260510,20260510,-54633,2,FT0800039
SFT080003902,2003007,20260510,20260510,54633,1,FT0800039
SFT080004001,2001128,20260510,20260510,-4393594,2,FT0800040
SFT080004002,2001621,20260510,20260510,4393594,1,FT0800040
SFT080004101,2002788,20260510,20260510,-2424462,2,FT0800041
SFT080004102,2002025,20260510,20260510,2424462,1,FT0800041
SFT080004201,2001902,20260510,20260510,-2935233,2,FT0800042
SFT080004202,2001261,20260510,20260510,2935233,1,FT0800042
SFT080004301,2002620,20260510,20260510,-2238193,2,FT0800043
SFT080004302,2000911,20260510,20260510,2238193,1,FT0800043
SFT080004401,2002880,20260510,20260510,-4428500,2,FT0800044
SFT080004402,2002505,20260510,20260510,4428500,1,FT0800044
SFT080004501,2000660,20260510,20260510,-2511507,2,FT0800045
SFT080004502,2002836,20260510,20260510,2511507,1,FT0800045
SFT080004601,2001288,20260510,20260510,-4025591,2,FT0800046
SFT080004602,2002931,20260510,20260510,4025591,1,FT0800046
SFT080004701,2000330,20260510,20260510,-2889222,2,FT0800047
SFT080004702,2001823,20260510,20260510,2889222,1,FT0800047
SFT080004801,2003281,20260510,20260510,-2460859,2,FT0800048
SFT080004802,2000003,20260510,20260510,2460859,1,FT0800048
SFT080004901,2002068,20260510,20260510,-1851577,2,FT0800049
SFT080004902,2001225,20260510,20260510,1851577,1,FT0800049
SFT080005001,2002440,20260510,20260510,-3788051,2,FT0800050
SFT080005002,2002119,20260510,20260510,3788051,1,FT0800050
SFT080005101,2001622,20260510,20260510,-2399166,2,FT0800051
SFT080005102,2000860,20260510,20260510,2399166,1,FT0800051
SFT080005201,2000383,20260510,20260510,-246728,2,FT0800052
SFT080005202,2000769,20260510,20260510,246728,1,FT0800052
SFT080005301,2002427,20260510,20260510,-4887053,2,FT0800053
SFT080005302,2001084,20260510,20260510,4887053,1,FT0800053
SFT080005401,2001627,20260510,20260510,-1809571,2,FT0800054
SFT080005402,2000689,20260510,20260510,1809571,1,FT0800054
SFT080005501,2002453,20260510,20260510,-1708384,2,FT0800055
SFT080005502,2000295,20260510,20260510,1708384,1,FT0800055
SFT080005601,2001084,20260510,20260510,-2903388,2,FT0800056
SFT080005602,2002663,20260510,20260510,2903388,1,FT0800056
SFT080005701,2003347,20260510,20260510,-3479409,2,FT0800057
SFT080005702,2003054,20260510,20260510,3479409,1,FT0800057
SFT080005801,2000283,20260510,20260510,-4004944,2,FT0800058
SFT080005802,2002332,20260510,20260510,4004944,1,FT0800058
SFT080005901,2000642,20260510,20260510,-4202673,2,FT0800059
SFT080005902,2002350,20260510,20260510,4202673,1,FT0800059
SFT080006001,2002129,20260510,20260510,-949891,2,FT0800060
SFT080006002,2002928,20260510,20260510,949891,1,FT0800060
