@ID,ACCOUNT.NUMBER,BOOKING.DATE,VALUE.DATE,AMOUNT,TRANSACTION.CODE,TRANS.REFERENCE
SFT100000001,2000903,20260524,20260524,-574018,2,FT1000000
SFT100000002,2003304,20260524,20260524,574018,1,FT1000000
SFT100000101,2002537,20260524,20260524,-2426491,2,FT1000001
SFT100000102,2001333,20260524,20260524,2426491,1,FT1000001
SFT100000201,2000871,20260524,20260524,-2648790,2,FT1000002
SFT100000202,2002242,20260524,20260524,2648790,1,FT1000002
SFT100000301,2002931,20260524,20260524,-3151621,2,FT1000003
SFT100000302,2000211,20260524,20260524,3151621,1,FT1000003
SFT100000401,2002701,20260524,20260524,-527877,2,FT1000004
SFT100000402,2001845,20260524,20260524,527877,1,FT1000004
SFT100000501,2002556,20260524,20260524,-4445638,2,FT1000005
SFT100000502,2000900,20260524,20260524,4445638,1,FT1000005
SFT100000601,2002379,20260524,20260524,-3087592,2,FT1000006
SFT100000602,2000367,20260524,20260524,3087592,1,FT1000006
SFT100000701,2002379,20260524,20260524,-336983,2,FT1000007
SFT100000702,2003078,20260524,20260524,336983,1,FT1000007
SFT100000801,2002509,20260524,20260524,-2637482,2,FT1000008
SFT100000802,2003191,20260524,20260524,2637482,1,FT1000008
SFT100000901,2001180,20260524,20260524,-4851729,2,FT1000009
SFT100000902,2003149,20260524,20260524,4851729,1,FT1000009
SFT100001001,2001627,20260524,20260524,-2159673,2,FT1000010
SFT100001002,2002701,20260524,20260524,2159673,1,FT1000010
SFT100001101,2002427,20260524,20260524,-2813535,2,FT1000011
SFT100001102,2000085,20260524,20260524,2813535,1,FT1000011
SFT100001201,2000285,20260524,20260524,-3605938,2,FT1000012
SFT100001202,2000019,20260524,20260524,3605938,1,FT1000012
SFT100001301,2002743,20260524,20260524,-4810716,2,FT1000013
SFT100001302,2000984,20260524,20260524,4810716,1,FT1000013
SFT100001401,2001451,20260524,20260524,-3452072,2,FT1000014
SFT100001402,2001939,20260524,20260524,3452072,1,FT1000014
SFT100001501,2003397,20260524,20260524,-2149987,2,FT1000015
SFT100001502,2000658,20260524,20260524,2149987,1,FT1000015
SFT100001601,2000085,20260524,20260524,-3066464,2,FT1000016
SFT100001602,2002182,20260524,20260524,3066464,1,FT1000016
SFT100001701,2002270,20260524,20260524,-3183482,2,FT1000017
