@ID,TRANSACTION.TYPE,DEBIT.ACCT.NO,DEBIT.CURRENCY,DEBIT.AMOUNT,CREDIT.ACCT.NO,CREDIT.VALUE.DATE,ORDERING.CUST
FT0200000,AC,2002290,XAF,3482247,2000237,20260329,JACQUES CORDIER LE PEREZ
FT0200001,AC,2002213,XAF,3807408,2000047,20260329,ASTRID ALEXANDRE
FT0200002,AC,2002006,USD,521378,2000068,20260329,SUSAN DEVAUX
FT0200003,AC,2002883,USD,2150793,2002227,20260329,DANIEL BONNET DU BONNEAU
FT0200004,AC,2001883,XAF,3635242,2001635,20260329,FRANCK PARENT
FT0200005,AC,2001918,USD,4691277,2001054,20260329,MARIE BOURGEOIS DE BARTHELEMY
FT0200006,AC,2000197,EUR,1889373,2002283,20260329,GEORGES LE JEAN
FT0200007,AC,2002148,USD,4181391,2002231,20260329,PHILIPPINE BOUTIN
FT0200008,AC,2002690,EUR,1691585,2001701,20260329,MARIE JACQUET
FT0200009,AC,2000307,EUR,564952,2000405,20260329,ANTOINE GRONDIN DU DUMONT
FT0200010,AC,2002788,XAF,4414166,2000597,20260329,CHANTAL DE LA GUYON
FT0200011,AC,2000348,XAF,4328729,2000841,20260329,HÉLÈNE LEFEBVRE
FT0200012,AC,2002097,XAF,4330900,2000315,20260329,ZOÉ DE LA RIBEIRO
FT0200013,AC,2002333,EUR,1341965,2001031,20260329,NOËL LEBON
FT0200014,AC,2001801,USD,2943539,2001852,20260329,BERNARD FAIVRE DU ROYER
FT0200015,AC,2002154,USD,3169057,2000638,20260329,SÉBASTIEN OLLIVIER-HAMEL
FT0200016,AC,2001616,EUR,4556629,2002106,20260329,AURÉLIE-NATHALIE GILLET
FT0200017,AC,2001016,USD,2168940,2002186,20260329,HÉLÈNE HENRY
FT0200018,AC,2002039,XAF,2059364,2002940,20260329,CONSTANCE PIERRE-POTTIER
FT0200019,AC,2002126,EUR,4980398,2000241,20260329,EMMANUELLE BOULAY DU LEBRUN
FT0200020,AC,2001006,XAF,409558,2000439,20260329,ÉDOUARD ALLAIN DE SCHMITT
FT0200021,AC,2000330,XAF,1500670,2000487,20260329,LUC FERRAND
FT0200022,AC,2000968,USD,4488018,2002202,20260329,BERNARD TEXIER
FT0200023,AC,2002062,USD,4845318,2001662,20260329,LOUISE GERMAIN
FT0200024,AC,2002065,USD,1493359,2000082,20260329,LUC REY
FT0200025,AC,2000180,EUR,3799101,2000651,20260329,BENOÎT-EUGÈNE LECOMTE
FT0200026,AC,2000171,XAF,313763,2001259,20260329,CAROLINE HAMON
FT0200027,AC,2002957,XAF,3240193,2000255,20260329,XAVIER LECLERC
FT0200028,AC,2000573,USD,1043905,2001220,20260329,CÉCILE GÉRARD DE RAYMOND
FT0200029,AC,2000471,EUR,2264071,2000301,20260329,JEANNE BERNARD
FT0200030,AC,2002189,USD,1036806,2000329,20260329,ÉDITH GILBERT
FT0200031,AC,2001804,EUR,3502011,2000390,20260329,HENRI MUNOZ
FT0200032,AC,2001237,USD,3621172,2001187,20260329,MICHEL DU ARNAUD
FT0200033,AC,2000863,USD,3184117,2002556,20260329,ISAAC POTIER
FT0200034,AC,2002855,XAF,3041816,2000617,20260329,SOPHIE LÉVÊQUE
FT0200035,AC,2000059,XAF,3177779,2002256,20260329,ARTHUR DU REY
FT0200036,AC,2002579,EUR,242466,2002258,20260329,TIMOTHÉE DU BOULAY
FT0200037,AC,2002295,EUR,2529768,2000756,20260329,THIBAUT TURPIN
FT0200038,AC,2002065,USD,4582071,2002419,20260329,LUC REY
FT0200039,AC,2002857,XAF,1616023,2002492,20260329,WILLIAM FAIVRE
FT0200040,AC,2001917,EUR,1956328,2001691,20260329,ADRIEN DOS SANTOS
FT0200041,AC,2000976,XAF,2704325,2000655,20260329,SUSANNE MASSON LE BÈGUE
FT0200042,AC,2001509,USD,4276429,2001019,20260329,LUC DU LAGARDE
FT0200043,AC,2000742,USD,37389,2001816,20260329,THOMAS LEMONNIER
FT0200044,AC,2002590,EUR,439605,2000301,20260329,ÉLÉONORE PRUVOST LE VAILLANT
FT0200045,AC,2002825,EUR,3766138,2002332,20260329,ÉMILE-ADRIEN PINTO
FT0200046,AC,2002425,XAF,2635348,2001588,20260329,MAURICE GRÉGOIRE
FT0200047,AC,2002106,EUR,651716,2001888,20260329,MANON MORVAN
FT0200048,AC,2000894,XAF,4151653,2000890,20260329,MARGARET LACROIX
FT0200049,AC,2000860,EUR,4921345,2000102,20260329,ROLAND LACROIX-BARTHELEMY
FT0200050,AC,2003027,USD,425637,2001016,20260329,ÉLÉONORE PAYET-GILLES
FT0200051,AC,2000864,EUR,3081767,2001447,20260329,DANIELLE HENRY DE LA LEDOUX
FT0200052,AC,2001460,USD,3380922,2001167,20260329,BERNADETTE VERDIER
FT0200053,AC,2000650,USD,4862377,2002472,20260329,BENJAMIN TRAORE DU GARCIA
FT0200054,AC,2002954,USD,1869015,2001405,20260329,AURÉLIE-MARGOT BOUCHER
FT0200055,AC,2001054,USD,1054727,2002759,20260329,JÉRÔME DUFOUR
FT0200056,AC,2002771,XAF,1061578,2001772,20260329,ANOUK TEIXEIRA DU JOSEPH
FT0200057,AC,2002618,EUR,1098639,2000995,20260329,ALFRED DE LA MARCHAND
FT0200058,AC,2000578,USD,1705114,2001603,20260329,MARTIN BAILLY
FT0200059,AC,2002048,USD,4828014,2000417,20260329,MADELEINE GIRAUD
FT0200060,AC,2002919,USD,2250341,2000902,20260329,PAUL MOREAU LE PIRES
FT0200061,AC,2001785,USD,2169775,2002624,20260329,ROBERT BENARD
FT0200062,AC,2000870,XAF,418678,2002932,20260329,AIMÉ HENRY
FT0200063,AC,2001723,EUR,273723,2001836,20260329,HUGUES PELTIER
FT0200064,AC,2002099,EUR,428233,2001742,20260329,SABINE DE SOUSA
FT0200065,AC,2002933,EUR,2992895,2002284,20260329,ASTRID ALEXANDRE
FT0200066,AC,2001901,USD,4229861,2002719,20260329,FRANÇOIS GUICHARD
FT0200067,AC,2002517,XAF,3163122,2002739,20260329,DANIELLE GERMAIN-LOMBARD
FT0200068,AC,2002155,EUR,3844957,2002895,20260329,HORTENSE FABRE
FT0200069,AC,2002248,XAF,4234333,2000324,20260329,ADÈLE LEBRETON
FT0200070,AC,2000604,XAF,1660416,2002995,20260329,ROGER ROCHER
FT0200071,AC,2001836,EUR,4515210,2000338,20260329,DAVID ADAM
FT0200072,AC,2001131,EUR,3503268,2001855,20260329,BERNADETTE ROYER
FT0200073,AC,2002931,USD,1270011,2000170,20260329,PIERRE-THIBAUT GÉRARD
FT0200074,AC,2000231,XAF,3141250,2001451,20260329,GUILLAUME PHILIPPE
FT0200075,AC,2002235,USD,4370646,2001167,20260329,CAMILLE BRIAND
FT0200076,AC,2001599,EUR,35450,2000404,20260329,COLETTE NOËL
FT0200077,AC,2001396,EUR,59461,2002245,20260329,JULIETTE LACROIX DE MAHE
FT0200078,AC,2000667,XAF,3633412,2001928,20260329,MARGAUX SAUVAGE-NORMAND
FT0200079,AC,2000233,EUR,156114,2001031,20260329,MATHILDE VIDAL
FT0200080,AC,2001755,XAF,3686275,2000740,20260329,ROBERT BARBE
FT0200081,AC,2001116,EUR,4823088,2002277,20260329,BRIGITTE MARIE DE LA PARIS
FT0200082,AC,2002337,USD,3125172,2002871,20260329,HÉLÈNE LEFEBVRE
FT0200083,AC,2000225,EUR,4214626,2002434,20260329,SUSAN CARON
FT0200084,AC,2000876,USD,4072206,2002738,20260329,JULIEN LENOIR DU BESSON
FT0200085,AC,2002137,XAF,2015659,2002179,20260329,LAETITIA GRÉGOIRE
FT0200086,AC,2001220,USD,462182,2000082,20260329,DIANE LÉGER
FT0200087,AC,2000537,XAF,51928,2001378,20260329,SUSAN DEVAUX
FT0200088,AC,2001845,EUR,747503,2001057,20260329,DENIS BOYER
FT0200089,AC,2000178,XAF,3407385,2002563,20260329,DANIELLE HENRY DE LA LEDOUX
FT0200090,AC,2002604,USD,1487555,2001288,20260329,SOPHIE GONCALVES-DIALLO
FT0200091,AC,2001283,EUR,1474309,2002976,20260329,CÉCILE-HORTENSE FERNANDES
FT0200092,AC,2001957,USD,2548809,2001697,20260329,ALPHONSE LE FABRE
FT0200093,AC,2001021,EUR,163487,2002386,20260329,VICTOR GUILLOT
FT0200094,AC,2000832,XAF,1018439,2000634,20260329,BRIGITTE HAMON
FT0200095,AC,2002024,XAF,727617,2002554,20260329,THÉOPHILE DE LA BLIN
FT0200096,AC,2002840,USD,948338,2001698,20260329,COLETTE NOËL
FT0200097,AC,2000116,XAF,1275670,2001589,20260329,ISABELLE LÉGER
FT0200098,AC,2000520,XAF,719271,2001471,20260329,MICHEL LOPEZ
FT0200099,AC,2002669,USD,3146659,2002627,20260329,ALAIN RÉMY DU RODRIGUEZ
FT0200100,AC,2001748,USD,74382,2001257,20260329,LOUISE BLONDEL
FT0200101,AC,2000911,USD,2590542,2002479,20260329,MATHILDE TOUSSAINT
FT0200102,AC,2002046,USD,298146,2001351,20260329,ÉLÉONORE VIDAL
FT0200103,AC,2001807,XAF,1679465,2000369,20260329,JULIEN LEGROS-CHARLES
FT0200104,AC,2000860,EUR,4210259,2001917,20260329,ROLAND LACROIX-BARTHELEMY
FT0200105,AC,2001220,USD,2460277,2001937,20260329,DIANE LÉGER
FT0200106,AC,2002015,EUR,3152439,2001583,20260329,MICHÈLE COSTA-LAMBERT
FT0200107,AC,2001624,USD,4444465,2001307,20260329,ASTRID MULLER
FT0200108,AC,2000305,USD,3102237,2001477,20260329,THOMAS BESNARD
FT0200109,AC,2001387,XAF,3489203,2002403,20260329,MARC BIGOT
FT0200110,AC,2001165,EUR,1239546,2000455,20260329,STÉPHANE DUMONT LE SCHMITT
FT0200111,AC,2001942,USD,32686,2001460,20260329,MARCELLE-THÉRÈSE GAUTIER
FT0200112,AC,2002842,XAF,4485393,2000922,20260329,CLAIRE BERGER
FT0200113,AC,2000079,XAF,4572569,2000617,20260329,PÉNÉLOPE DE SOUSA DE LA SALMON
FT0200114,AC,2000937,XAF,4455879,2000289,20260329,VINCENT PASCAL
FT0200115,AC,2002347,XAF,2285305,2000592,20260329,CATHERINE LE DUMONT
FT0200116,AC,2000741,XAF,2117864,2002038,20260329,ROLAND-DENIS BENOIT
FT0200117,AC,2000437,XAF,2857184,2000865,20260329,HUGUES BONNET
FT0200118,AC,2002864,XAF,1354033,2001014,20260329,MICHEL GARCIA
FT0200119,AC,2000807,XAF,2736180,2001887,20260329,ADRIEN DOS SANTOS
FT0200120,AC,2002099,EUR,393677,2000367,20260329,SABINE DE SOUSA
FT0200121,AC,2001827,XAF,2656192,2002979,20260329,TRISTAN ROYER
FT0200122,AC,2002662,XAF,2833179,2000880,20260329,NATHALIE COHEN
FT0200123,AC,2000024,USD,4257031,2002719,20260329,ALICE DA COSTA
FT0200124,AC,2003035,USD,3341135,2001624,20260329,CHRISTELLE CHAUVEAU
FT0200125,AC,2002085,EUR,1764867,2001203,20260329,MADELEINE ROY
FT0200126,AC,2000294,USD,1104853,2001434,20260329,AUDREY HARDY
FT0200127,AC,2000805,XAF,4736142,2000343,20260329,JEANNINE LAMBERT LE RENARD
FT0200128,AC,2002421,USD,1653977,2001688,20260329,BERNADETTE PASCAL
FT0200129,AC,2000614,XAF,2012086,2001014,20260329,TRISTAN GRENIER-PINEAU
FT0200130,AC,2000749,USD,3136489,2000436,20260329,JÉRÔME-AIMÉ SEGUIN
FT0200131,AC,2000130,EUR,2038381,2002697,20260329,ADÈLE LEBRETON
FT0200132,AC,2002295,EUR,2424300,2001929,20260329,THIBAUT TURPIN
FT0200133,AC,2002571,USD,1432986,2001268,20260329,LAURENCE MASSON
FT0200134,AC,2000578,USD,2887366,2002297,20260329,MARTIN BAILLY
FT0200135,AC,2001132,EUR,2489083,2002644,20260329,VINCENT PASCAL
FT0200136,AC,2002455,EUR,399924,2001929,20260329,LUCAS DE OLIVEIRA
FT0200137,AC,2002591,USD,3263629,2000863,20260329,JACQUELINE HUMBERT
FT0200138,AC,2000582,XAF,3510115,2003039,20260329,GABRIEL POULAIN
FT0200139,AC,2001315,XAF,790879,2000393,20260329,BERNARD BAUDRY
FT0200140,AC,2002089,USD,1632056,2000419,20260329,BERNARD NEVEU
FT0200141,AC,2001035,USD,4299874,2001497,20260329,BERNARD-RENÉ DELAUNAY
FT0200142,AC,2002065,USD,2257630,2001172,20260329,LUC REY
FT0200143,AC,2001339,USD,3149790,2002297,20260329,CHRISTIANE MAILLOT
FT0200144,AC,2002488,USD,3229046,2001819,20260329,JULES COSTE
FT0200145,AC,2002068,USD,940962,2002840,20260329,TRISTAN-HENRI BERNARD
FT0200146,AC,2001123,XAF,3398058,2000041,20260329,LUC MOREAU
FT0200147,AC,2000353,EUR,408011,2000961,20260329,CHRISTINE LAROCHE
FT0200148,AC,2001801,USD,4928212,2002871,20260329,BERNARD FAIVRE DU ROYER
FT0200149,AC,2001147,XAF,1774045,2000725,20260329,LUCAS PIERRE
FT0200150,AC,2001496,XAF,2432729,2002112,20260329,TRISTAN GUYOT
FT0200151,AC,2002107,USD,3772869,2001346,20260329,ALFRED BAZIN
FT0200152,AC,2001730,EUR,608447,2002119,20260329,EUGÈNE DE LA LEGENDRE
FT0200153,AC,2002683,EUR,2045082,2002505,20260329,VINCENT BRUN
FT0200154,AC,2001031,EUR,1039714,2000383,20260329,TRISTAN LEBON LE VIDAL
FT0200155,AC,2002345,XAF,4014806,2002467,20260329,PIERRE-THIBAUT GÉRARD
FT0200156,AC,2000404,EUR,3723404,2001481,20260329,VINCENT BOULANGER
FT0200157,AC,2002954,USD,4011119,2002852,20260329,AURÉLIE-MARGOT BOUCHER
FT0200158,AC,2002002,USD,220919,2000109,20260329,SUZANNE GUÉRIN
FT0200159,AC,2000200,XAF,3130309,2001222,20260329,ROBERT GRENIER-TECHER
FT0200160,AC,2002341,EUR,2775113,2002579,20260329,MICHELLE DIJOUX DU COUSIN
FT0200161,AC,2000259,EUR,301521,2001888,20260329,PHILIPPINE PARENT
FT0200162,AC,2001203,EUR,2325265,2002457,20260329,LUC DE LA GRENIER
FT0200163,AC,2002428,EUR,2753021,2000779,20260329,CÉLINA LOISEAU
FT0200164,AC,2001652,XAF,361458,2002967,20260329,ARTHUR PARENT
FT0200165,AC,2000607,XAF,1436267,2000125,20260329,ALIX JACOB
FT0200166,AC,2000872,XAF,43681,2001358,20260329,ANTOINETTE AUBERT
FT0200167,AC,2001886,USD,4199336,2002624,20260329,ALAIN-GÉRARD TECHER
FT0200168,AC,2002099,EUR,4975401,2002697,20260329,SABINE DE SOUSA
FT0200169,AC,2000091,XAF,2493092,2002558,20260329,NICOLAS LESAGE
FT0200170,AC,2002743,USD,657481,2002140,20260329,MARTIN-ÉTIENNE BERTHELOT
FT0200171,AC,2001543,EUR,2233075,2002505,20260329,NICOLE BRIAND-ALBERT
FT0200172,AC,2000322,XAF,2323473,2000058,20260329,HENRI BOUCHET
FT0200173,AC,2000361,USD,1281969,2000011,20260329,ÉDOUARD PIERRE-HAMEL
FT0200174,AC,2002316,XAF,3462411,2000831,20260329,LÉON GUICHARD
FT0200175,AC,2000139,XAF,3623842,2002073,20260329,ALPHONSE GUILLOU
FT0200176,AC,2001787,EUR,4451942,2000197,20260329,CÉCILE BERNARD
FT0200177,AC,2002759,USD,3158713,2002068,20260329,ADÉLAÏDE LEMONNIER-TOUSSAINT
FT0200178,AC,2000965,XAF,2185522,2001281,20260329,ALEXANDRE MEYER
FT0200179,AC,2001026,USD,300851,2001700,20260329,CHRISTOPHE BÈGUE
FT0200180,AC,2000272,USD,2581358,2002878,20260329,DIANE LE ROUX-SALMON
FT0200181,AC,2002551,XAF,3555998,2001479,20260329,ADÈLE FAIVRE-RAMOS
FT0200182,AC,2000072,XAF,2776718,2000015,20260329,LUCAS DE LUCAS
FT0200183,AC,2002513,XAF,1250546,2000857,20260329,HÉLÈNE RENARD
FT0200184,AC,2001774,EUR,2122524,2000074,20260329,LUCIE DU ROCHER
FT0200185,AC,2001438,XAF,2991622,2000735,20260329,NATHALIE COHEN
FT0200186,AC,2001937,USD,4055479,2002308,20260329,MICHELLE DIJOUX DU COUSIN
FT0200187,AC,2000333,USD,688410,2002117,20260329,GABRIEL POULAIN
FT0200188,AC,2000239,USD,1484466,2001054,20260329,FRANÇOIS GONZALEZ
FT0200189,AC,2002176,EUR,4309141,2002976,20260329,ROBERT JOUBERT
FT0200190,AC,2002823,USD,4196878,2002093,20260329,GUY-XAVIER RICHARD
FT0200191,AC,2000067,XAF,1257905,2002079,20260329,WILLIAM MAILLARD DU ALBERT
FT0200192,AC,2001257,USD,4852320,2001816,20260329,HUGUES MARTEL
FT0200193,AC,2000876,USD,1677856,2001216,20260329,JULIEN LENOIR DU BESSON
FT0200194,AC,2000375,EUR,1437055,2000338,20260329,AUGUSTE BENOIT
FT0200195,AC,2001152,EUR,2503697,2000864,20260329,LUCAS CARLIER
FT0200196,AC,2002046,USD,4424292,2002229,20260329,ÉLÉONORE VIDAL
FT0200197,AC,2002531,XAF,4908048,2000101,20260329,MAURICE RENARD
FT0200198,AC,2000546,USD,4116736,2001748,20260329,MICHELLE-MARGUERITE AUGER
FT0200199,AC,2001250,XAF,669155,2002957,20260329,XAVIER LELIÈVRE
FT0200200,AC,2001318,EUR,4787508,2003022,20260329,ASTRID ALEXANDRE
FT0200201,AC,2002702,XAF,4440798,2001036,20260329,SUZANNE GUÉRIN
FT0200202,AC,2000161,XAF,3930003,2002167,20260329,PIERRE LE COSTA
FT0200203,AC,2000816,USD,3701811,2001026,20260329,VALENTINE COSTE
FT0200204,AC,2003027,USD,2665176,2002068,20260329,ÉLÉONORE PAYET-GILLES
FT0200205,AC,2002258,EUR,2084379,2002085,20260329,DENIS MASSON
FT0200206,AC,2002930,USD,4162059,2000163,20260329,OLIVIER DENIS DE LA BARBE
FT0200207,AC,2002949,EUR,4299945,2001173,20260329,JEANNINE LAMBERT LE RENARD
FT0200208,AC,2001473,EUR,639509,2001774,20260329,MICHEL ROUSSEAU
FT0200209,AC,2001173,EUR,1539967,2001523,20260329,ÉRIC COSTA
FT0200210,AC,2001018,XAF,1416005,2000237,20260329,GRÉGOIRE-LAURENT LE ROUX
FT0200211,AC,2000466,XAF,3923241,2002402,20260329,MARINE MONNIER
FT0200212,AC,2001306,XAF,455587,2001249,20260329,ÉTIENNE BOULAY
FT0200213,AC,2000854,EUR,4734048,2000233,20260329,CONSTANCE LECOMTE
FT0200214,AC,2000329,USD,1308140,2000436,20260329,INÈS DELATTRE
FT0200215,AC,2000414,EUR,4535293,2002970,20260329,LUC-MARC CHAUVET
FT0200216,AC,2001142,XAF,4444066,2000513,20260329,VICTOR-JACQUES RAYNAUD
FT0200217,AC,2001622,EUR,1653920,2001787,20260329,MATTHIEU BRUNEL
FT0200218,AC,2002119,EUR,1196211,2000961,20260329,SUZANNE BENARD LE CARLIER
FT0200219,AC,2001238,XAF,2024600,2002167,20260329,SYLVIE MEUNIER-JACQUET
FT0200220,AC,2000869,XAF,2389718,2001840,20260329,LOUISE GERMAIN
FT0200221,AC,2001077,USD,3166788,2001166,20260329,TIMOTHÉE DU BOULAY
