@ID,ACCOUNT.NUMBER,BOOKING.DATE,VALUE.DATE,AMOUNT,TRANSACTION.CODE,TRANS.REFERENCE
SFT070000001,2002134,20260503,20260503,-2513651,2,FT0700000
SFT070000002,2000247,20260503,20260503,2513651,1,FT0700000
SFT070000101,2001415,20260503,20260503,-4854773,2,FT0700001
SFT070000102,2001700,20260503,20260503,4854773,1,FT0700001
SFT070000201,2000848,20260503,20260503,-1482013,2,FT0700002
SFT070000202,2002919,20260503,20260503,1482013,1,FT0700002
SFT070000301,2001015,20260503,20260503,-4194718,2,FT0700003
SFT070000302,2001370,20260503,20260503,4194718,1,FT0700003
SFT070000401,2002036,20260503,20260503,-882005,2,FT0700004
SFT070000402,2001173,20260503,20260503,882005,1,FT0700004
SFT070000501,2000165,20260503,20260503,-1312597,2,FT0700005
SFT070000502,2000813,20260503,20260503,1312597,1,FT0700005
SFT070000601,2002617,20260503,20260503,-4779497,2,FT0700006
SFT070000602,2003169,20260503,20260503,4779497,1,FT0700006
SFT070000701,2001942,20260503,20260503,-607111,2,FT0700007
SFT070000702,2002509,20260503,20260503,607111,1,FT0700007
SFT070000801,2000233,20260503,20260503,-1091242,2,FT0700008
SFT070000802,2000471,20260503,20260503,1091242,1,FT0700008
SFT070000901,2001931,20260503,20260503,-2196899,2,FT0700009
SFT070000902,2001668,20260503,20260503,2196899,1,FT0700009
SFT070001001,2003011,20260503,20260503,-210731,2,FT0700010
SFT070001002,2002412,20260503,20260503,210731,1,FT0700010
SFT070001101,2000445,20260503,20260503,-1675187,2,FT0700011
SFT070001102,2000007,20260503,20260503,1675187,1,FT0700011
SFT070001201,2001344,20260503,20260503,-3731533,2,FT0700012
SFT070001202,2001967,20260503,20260503,3731533,1,FT0700012
SFT070001301,2000866,20260503,20260503,-4341270,2,FT0700013
SFT070001302,2003240,20260503,20260503,4341270,1,FT0700013
SFT070001401,2000310,20260503,20260503,-3432144,2,FT0700014
SFT070001402,2001318,20260503,20260503,3432144,1,FT0700014
SFT070001501,2000071,20260503,20260503,-2594539,2,FT0700015
SFT070001502,2000304,20260503,20260503,2594539,1,FT0700015
SFT070001601,2003259,20260503,20260503,-30949,2,FT0700016
SFT070001602,2003240,20260503,20260503,30949,1,FT0700016
SFT070001701,2002258,20260503,20260503,-4661718,2,FT0700017
SFT070001702,2001724,20260503,20260503,4661718,1,FT0700017
SFT070001801,2000056,20260503,20260503,-4272424,2,FT0700018
SFT070001802,2002797,20260503,20260503,4272424,1,FT0700018
SFT070001901,2000834,20260503,20260503,-2944395,2,FT0700019
SFT070001902,2002228,20260503,20260503,2944395,1,FT0700019
SFT070002001,2001484,20260503,20260503,-42433,2,FT0700020
SFT070002002,2001230,20260503,20260503,42433,1,FT0700020
SFT070002101,2001047,20260503,20260503,-3783946,2,FT0700021
SFT070002102,2002091,20260503,20260503,3783946,1,FT0700021
SFT070002201,2003075,20260503,20260503,-1878887,2,FT0700022
SFT070002202,2000260,20260503,20260503,1878887,1,FT0700022
SFT070002301,2002217,20260503,20260503,-1131055,2,FT0700023
SFT070002302,2000361,20260503,20260503,1131055,1,FT0700023
SFT070002401,2001627,20260503,20260503,-372903,2,FT0700024
SFT070002402,2000134,20260503,20260503,372903,1,FT0700024
SFT070002501,2002456,20260503,20260503,-1649914,2,FT0700025
SFT070002502,2001096,20260503,20260503,1649914,1,FT0700025
SFT070002601,2000252,20260503,20260503,-921075,2,FT0700026
SFT070002602,2000302,20260503,20260503,921075,1,FT0700026
SFT070002701,2001408,20260503,20260503,-3428060,2,FT0700027
SFT070002702,2003166,20260503,20260503,3428060,1,FT0700027
SFT070002801,2002675,20260503,20260503,-4439713,2,FT0700028
SFT070002802,2002977,20260503,20260503,4439713,1,FT0700028
SFT070002901,2001973,20260503,20260503,-2083203,2,FT0700029
SFT070002902,2002461,20260503,20260503,2083203,1,FT0700029
SFT070003001,2000779,20260503,20260503,-3518937,2,FT0700030
SFT070003002,2001154,20260503,20260503,3518937,1,FT0700030
SFT070003101,2002505,20260503,20260503,-2449494,2,FT0700031
SFT070003102,2002405,20260503,20260503,2449494,1,FT0700031
SFT070003201,2002919,20260503,20260503,-2839016,2,FT0700032
SFT070003202,2001477,20260503,20260503,2839016,1,FT0700032
SFT070003301,2002419,20260503,20260503,-3834561,2,FT0700033
SFT070003302,2000245,20260503,20260503,3834561,1,FT0700033
SFT070003401,2002652,20260503,20260503,-1712500,2,FT0700034
SFT070003402,2002404,20260503,20260503,1712500,1,FT0700034
SFT070003501,2002926,20260503,20260503,-2947683,2,FT0700035
SFT070003502,2001177,20260503,20260503,2947683,1,FT0700035
SFT070003601,2001705,20260503,20260503,-1226100,2,FT0700036
SFT070003602,2003264,20260503,20260503,1226100,1,FT0700036
SFT070003701,2000916,20260503,20260503,-215780,2,FT0700037
SFT070003702,2002975,20260503,20260503,215780,1,FT0700037
SFT070003801,2001712,20260503,20260503,-4704944,2,FT0700038
SFT070003802,2001419,20260503,20260503,4704944,1,FT0700038
SFT070003901,2000637,20260503,20260503,-1226590,2,FT0700039
SFT070003902,2002379,20260503,20260503,1226590,1,FT0700039
SFT070004001,2002433,20260503,20260503,-2604351,2,FT0700040
SFT070004002,2002545,20260503,20260503,2604351,1,FT0700040
SFT070004101,2000071,20260503,20260503,-4875629,2,FT0700041
SFT070004102,2001225,20260503,20260503,4875629,1,FT0700041
SFT070004201,2001986,20260503,20260503,-3658091,2,FT0700042
SFT070004202,2003148,20260503,20260503,3658091,1,FT0700042
SFT070004301,2001262,20260503,20260503,-1472353,2,FT0700043
SFT070004302,2001266,20260503,20260503,1472353,1,FT0700043
SFT070004401,2002702,20260503,20260503,-853553,2,FT0700044
SFT070004402,2000867,20260503,20260503,853553,1,FT0700044
SFT070004501,2001603,20260503,20260503,-874802,2,FT0700045
SFT070004502,2000218,20260503,20260503,874802,1,FT0700045
SFT070004601,2002011,20260503,20260503,-186920,2,FT0700046
SFT070004602,2002002,20260503,20260503,186920,1,FT0700046
SFT070004701,2003188,20260503,20260503,-1347178,2,FT0700047
SFT070004702,2002346,20260503,20260503,1347178,1,FT0700047
SFT070004801,2000389,20260503,20260503,-4506156,2,FT0700048
SFT070004802,2002486,20260503,20260503,4506156,1,FT0700048
SFT070004901,2001801,20260503,20260503,-4449823,2,FT0700049
SFT070004902,2002961,20260503,20260503,4449823,1,FT0700049
SFT070005001,2000414,20260503,20260503,-1822213,2,FT0700050
SFT070005002,2001655,20260503,20260503,1822213,1,FT0700050
SFT070005101,2001751,20260503,20260503,-1798615,2,FT0700051
