@ID,ACCOUNT.NUMBER,BOOKING.DATE,VALUE.DATE,AMOUNT,TRANSACTION.CODE,TRANS.REFERENCE
SFT030000001,2001733,20260405,20260405,-2664964,2,FT0300000
SFT030000002,2000106,20260405,20260405,2664964,1,FT0300000
SFT030000101,2002374,20260405,20260405,-4894715,2,FT0300001
SFT030000102,2000697,20260405,20260405,4894715,1,FT0300001
SFT030000201,2002117,20260405,20260405,-4842756,2,FT0300002
SFT030000202,2000516,20260405,20260405,4842756,1,FT0300002
SFT030000301,2000158,20260405,20260405,-1616845,2,FT0300003
SFT030000302,2000748,20260405,20260405,1616845,1,FT0300003
SFT030000401,2000903,20260405,20260405,-1311744,2,FT0300004
SFT030000402,2002483,20260405,20260405,1311744,1,FT0300004
SFT030000501,2001268,20260405,20260405,-1485586,2,FT0300005
SFT030000502,2002186,20260405,20260405,1485586,1,FT0300005
SFT030000601,2001692,20260405,20260405,-4363643,2,FT0300006
SFT030000602,2001298,20260405,20260405,4363643,1,FT0300006
SFT030000701,2002387,20260405,20260405,-3349809,2,FT0300007
SFT030000702,2001035,20260405,20260405,3349809,1,FT0300007
SFT030000801,2002085,20260405,20260405,-1690540,2,FT0300008
SFT030000802,2002428,20260405,20260405,1690540,1,FT0300008
SFT030000901,2001226,20260405,20260405,-3670673,2,FT0300009
SFT030000902,2002247,20260405,20260405,3670673,1,FT0300009
SFT030001001,2000904,20260405,20260405,-3797536,2,FT0300010
SFT030001002,2002895,20260405,20260405,3797536,1,FT0300010
SFT030001101,2000516,20260405,20260405,-1332582,2,FT0300011
SFT030001102,2002161,20260405,20260405,1332582,1,FT0300011
SFT030001201,2000469,20260405,20260405,-2304991,2,FT0300012
SFT030001202,2001452,20260405,20260405,2304991,1,FT0300012
SFT030001301,2003099,20260405,20260405,-1852562,2,FT0300013
SFT030001302,2002905,20260405,20260405,1852562,1,FT0300013
SFT030001401,2002795,20260405,20260405,-938734,2,FT0300014
SFT030001402,2000527,20260405,20260405,938734,1,FT0300014
SFT030001501,2001043,20260405,20260405,-1645441,2,FT0300015
SFT030001502,2001236,20260405,20260405,1645441,1,FT0300015
SFT030001601,2002186,20260405,20260405,-4344376,2,FT0300016
SFT030001602,2001638,20260405,20260405,4344376,1,FT0300016
SFT030001701,2002631,20260405,20260405,-1133565,2,FT0300017
SFT030001702,2000717,20260405,20260405,1133565,1,FT0300017
SFT030001801,2002015,20260405,20260405,-3789522,2,FT0300018
SFT030001802,2000301,20260405,20260405,3789522,1,FT0300018
SFT030001901,2000093,20260405,20260405,-1869650,2,FT0300019
SFT030001902,2002580,20260405,20260405,1869650,1,FT0300019
SFT030002001,2002917,20260405,20260405,-3291792,2,FT0300020
SFT030002002,2001225,20260405,20260405,3291792,1,FT0300020
SFT030002101,2002794,20260405,20260405,-1745926,2,FT0300021
SFT030002102,2001586,20260405,20260405,1745926,1,FT0300021
SFT030002201,2001257,20260405,20260405,-233224,2,FT0300022
SFT030002202,2001879,20260405,20260405,233224,1,FT0300022
SFT030002301,2000984,20260405,20260405,-2054076,2,FT0300023
SFT030002302,2000071,20260405,20260405,2054076,1,FT0300023
SFT030002401,2002115,20260405,20260405,-569337,2,FT0300024
SFT030002402,2000310,20260405,20260405,569337,1,FT0300024
SFT030002501,2003024,20260405,20260405,-2156752,2,FT0300025
SFT030002502,2002934,20260405,20260405,2156752,1,FT0300025
SFT030002601,2002716,20260405,20260405,-1720829,2,FT0300026
SFT030002602,2002346,20260405,20260405,1720829,1,FT0300026
SFT030002701,2002547,20260405,20260405,-3791625,2,FT0300027
SFT030002702,2002427,20260405,20260405,3791625,1,FT0300027
SFT030002801,2002085,20260405,20260405,-165184,2,FT0300028
SFT030002802,2002910,20260405,20260405,165184,1,FT0300028
SFT030002901,2002844,20260405,20260405,-3808683,2,FT0300029
SFT030002902,2002731,20260405,20260405,3808683,1,FT0300029
SFT030003001,2001824,20260405,20260405,-4663552,2,FT0300030
SFT030003002,2001909,20260405,20260405,4663552,1,FT0300030
SFT030003101,2003024,20260405,20260405,-3027737,2,FT0300031
SFT030003102,2000211,20260405,20260405,3027737,1,FT0300031
