@ID,ACCOUNT.NUMBER,BOOKING.DATE,VALUE.DATE,AMOUNT,TRANSACTION.CODE,TRANS.REFERENCE
SFT050000001,2002701,20260419,20260419,-3592782,2,FT0500000
SFT050000002,2001522,20260419,20260419,3592782,1,FT0500000
SFT050000101,2001394,20260419,20260419,-250931,2,FT0500001
SFT050000102,2003173,20260419,20260419,250931,1,FT0500001
SFT050000201,2001589,20260419,20260419,-2633382,2,FT0500002
SFT050000202,2001649,20260419,20260419,2633382,1,FT0500002
SFT050000301,2001796,20260419,20260419,-3690706,2,FT0500003
SFT050000302,2002386,20260419,20260419,3690706,1,FT0500003
SFT050000401,2000937,20260419,20260419,-818198,2,FT0500004
SFT050000402,2001304,20260419,20260419,818198,1,FT0500004
SFT050000501,2001167,20260419,20260419,-3206757,2,FT0500005
SFT050000502,2002235,20260419,20260419,3206757,1,FT0500005
SFT050000601,2000207,20260419,20260419,-312638,2,FT0500006
SFT050000602,2000689,20260419,20260419,312638,1,FT0500006
SFT050000701,2002091,20260419,20260419,-1245031,2,FT0500007
SFT050000702,2001461,20260419,20260419,1245031,1,FT0500007
SFT050000801,2001624,20260419,20260419,-129097,2,FT0500008
SFT050000802,2000546,20260419,20260419,129097,1,FT0500008
SFT050000901,2002757,20260419,20260419,-563740,2,FT0500009
SFT050000902,2000192,20260419,20260419,563740,1,FT0500009
SFT050001001,2002245,20260419,20260419,-4464664,2,FT0500010
SFT050001002,2001160,20260419,20260419,4464664,1,FT0500010
SFT050001101,2003000,20260419,20260419,-4592705,2,FT0500011
SFT050001102,2001711,20260419,20260419,4592705,1,FT0500011
SFT050001201,2002703,20260419,20260419,-2309863,2,FT0500012
SFT050001202,2000643,20260419,20260419,2309863,1,FT0500012
SFT050001301,2000910,20260419,20260419,-2402250,2,FT0500013
SFT050001302,2002820,20260419,20260419,2402250,1,FT0500013
SFT050001401,2001543,20260419,20260419,-4332882,2,FT0500014
SFT050001402,2000233,20260419,20260419,4332882,1,FT0500014
SFT050001501,2002134,20260419,20260419,-3479514,2,FT0500015
SFT050001502,2002219,20260419,20260419,3479514,1,FT0500015
SFT050001601,2002887,20260419,20260419,-4787113,2,FT0500016
SFT050001602,2003057,20260419,20260419,4787113,1,FT0500016
SFT050001701,2000828,20260419,20260419,-3906168,2,FT0500017
SFT050001702,2002931,20260419,20260419,3906168,1,FT0500017
SFT050001801,2002109,20260419,20260419,-1073724,2,FT0500018
SFT050001802,2002696,20260419,20260419,1073724,1,FT0500018
SFT050001901,2001679,20260419,20260419,-3750963,2,FT0500019
SFT050001902,2000370,20260419,20260419,3750963,1,FT0500019
SFT050002001,2001257,20260419,20260419,-3071622,2,FT0500020
SFT050002002,2001428,20260419,20260419,3071622,1,FT0500020
