@ID,TRANSACTION.TYPE,DEBIT.ACCT.NO,DEBIT.CURRENCY,DEBIT.AMOUNT,CREDIT.ACCT.NO,CREDIT.VALUE.DATE,ORDERING.CUST
FT0100000,AC,2002220,EUR,311653,2001445,20260322,LUCIE-NICOLE LÉVY
FT0100001,AC,2002062,USD,3251650,2001333,20260322,LOUISE GERMAIN
FT0100002,AC,2002271,XAF,3764517,2002380,20260322,MARTIN BAILLY
FT0100003,AC,2002366,EUR,1511881,2001723,20260322,PATRICK ROBIN
FT0100004,AC,2002488,USD,76753,2002759,20260322,JULES COSTE
FT0100005,AC,2000828,USD,1774800,2000638,20260322,CÉCILE PINTO
FT0100006,AC,2001917,EUR,2834481,2002825,20260322,ADRIEN DOS SANTOS
FT0100007,AC,2001700,USD,230021,2002068,20260322,PAUL FLEURY
FT0100008,AC,2001785,USD,541869,2000968,20260322,ROBERT BENARD
FT0100009,AC,2002064,USD,3253553,2001901,20260322,MADELEINE DE ROSSI
FT0100010,AC,2000102,EUR,2478696,2000560,20260322,THIERRY-ÉTIENNE BENARD
FT0100011,AC,2002107,USD,3853767,2000516,20260322,ALFRED BAZIN
FT0100012,AC,2000099,XAF,2512875,2001331,20260322,JÉRÔME CHARPENTIER-RAMOS
FT0100013,AC,2002428,EUR,667803,2002969,20260322,CÉLINA LOISEAU
FT0100014,AC,2002640,USD,4188095,2000245,20260322,GUILLAUME RICHARD
FT0100015,AC,2000141,USD,665476,2002905,20260322,OLIVIER DE LA RIVIÈRE
FT0100016,AC,2002609,XAF,4700902,2002342,20260322,GABRIELLE LEBRETON
FT0100017,AC,2001855,EUR,639312,2000979,20260322,GÉRARD MORENO
FT0100018,AC,2000172,EUR,1466690,2001723,20260322,OLIVIER DELMAS
FT0100019,AC,2002239,XAF,4401840,2000270,20260322,OLIVIER DE AUBERT
FT0100020,AC,2000192,EUR,2809992,2001794,20260322,LUC REY
FT0100021,AC,2000638,USD,3738174,2001187,20260322,LUC TOUSSAINT
FT0100022,AC,2000842,EUR,2279800,2001132,20260322,THIBAUT MICHAUD
FT0100023,AC,2000642,XAF,1351511,2000393,20260322,GABRIELLE LEBRETON
FT0100024,AC,2002759,USD,4182848,2001678,20260322,ADÉLAÏDE LEMONNIER-TOUSSAINT
FT0100025,AC,2002034,XAF,4132475,2000266,20260322,JACQUES RODRIGUES
FT0100026,AC,2002337,USD,745480,2000900,20260322,HÉLÈNE LEFEBVRE
FT0100027,AC,2000769,EUR,2644746,2002895,20260322,ANOUK MAHE
FT0100028,AC,2001009,XAF,4527024,2001814,20260322,CLAUDINE-MARGOT CHARPENTIER
FT0100029,AC,2002015,EUR,1238778,2001543,20260322,MICHÈLE COSTA-LAMBERT
FT0100030,AC,2002581,EUR,528409,2002989,20260322,THIERRY-ÉTIENNE BENARD
FT0100031,AC,2000524,XAF,2757828,2002101,20260322,GEORGES FLEURY
FT0100032,AC,2002041,XAF,612936,2000265,20260322,ROLAND-DENIS BENOIT
FT0100033,AC,2000995,EUR,2338189,2002850,20260322,ARTHUR VALENTIN
FT0100034,AC,2002679,XAF,3801744,2002674,20260322,MARTINE DE LA LECOQ
FT0100035,AC,2001131,EUR,492172,2001154,20260322,BERNADETTE ROYER
FT0100036,AC,2002810,XAF,1825783,2000890,20260322,CÉCILE GÉRARD DE RAYMOND
FT0100037,AC,2002568,XAF,2746694,2000398,20260322,JULIEN JOLY
FT0100038,AC,2001268,USD,1099087,2001339,20260322,VICTOR DE BOUCHER
FT0100039,AC,2002013,XAF,4839697,2001551,20260322,RAYMOND REGNIER
FT0100040,AC,2000419,USD,1423921,2002091,20260322,ÉDOUARD BOYER
FT0100041,AC,2000918,EUR,2071826,2002663,20260322,ROBERT LECOMTE
FT0100042,AC,2002785,XAF,3071003,2001517,20260322,TRISTAN ROUSSEAU
FT0100043,AC,2002627,USD,2226262,2000764,20260322,NATHALIE LACOMBE
FT0100044,AC,2002338,XAF,722609,2001143,20260322,MARGOT DE PETIT
FT0100045,AC,2002339,XAF,1789194,2000722,20260322,HENRI RODRIGUEZ
FT0100046,AC,2002526,EUR,1160985,2002663,20260322,ÉLISE SIMON
FT0100047,AC,2000440,XAF,33957,2002174,20260322,FRANÇOIS GUICHARD
FT0100048,AC,2001396,EUR,4004015,2002900,20260322,JULIETTE LACROIX DE MAHE
FT0100049,AC,2001447,EUR,17799,2001854,20260322,ARTHUR PARENT
FT0100050,AC,2000010,USD,697464,2001416,20260322,CATHERINE DU LEROY
FT0100051,AC,2000478,USD,2007536,2001879,20260322,ALICE MARTINEZ
FT0100052,AC,2002701,EUR,1937271,2001481,20260322,ALICE MARTINEZ
FT0100053,AC,2001625,EUR,4091212,2000283,20260322,CAPUCINE TECHER
FT0100054,AC,2001035,USD,186924,2000068,20260322,BERNARD-RENÉ DELAUNAY
FT0100055,AC,2002217,USD,2662678,2001460,20260322,THOMAS DUVAL DU HENRY
FT0100056,AC,2001755,XAF,3893733,2002929,20260322,ROBERT BARBE
FT0100057,AC,2001210,EUR,502249,2001720,20260322,MARINE COURTOIS
FT0100058,AC,2002527,USD,896006,2000260,20260322,CONSTANCE-MARCELLE GEORGES
FT0100059,AC,2001486,USD,4703585,2000573,20260322,GUY GROS
FT0100060,AC,2002529,EUR,3082205,2001694,20260322,AUDREY LAINE-PIERRE
FT0100061,AC,2001742,EUR,198780,2001794,20260322,ALPHONSE LECLERC
FT0100062,AC,2000145,XAF,2640844,2000158,20260322,LUCAS-ARTHUR LEFEBVRE
FT0100063,AC,2000749,USD,278177,2001426,20260322,JÉRÔME-AIMÉ SEGUIN
FT0100064,AC,2001131,EUR,4327731,2002757,20260322,BERNADETTE ROYER
FT0100065,AC,2001764,EUR,1500911,2002374,20260322,JULES COSTE
FT0100066,AC,2000240,USD,332486,2001896,20260322,LAURENT ROBERT
FT0100067,AC,2000149,EUR,1492393,2002434,20260322,PATRICK MEYER
FT0100068,AC,2001192,EUR,99310,2000338,20260322,RÉMY DUPUY-WEISS
FT0100069,AC,2000727,EUR,1884748,2001701,20260322,MARCEL LECOMTE-SANCHEZ
FT0100070,AC,2000018,XAF,4209193,2000794,20260322,BENJAMIN GOSSELIN DE LÉVÊQUE
FT0100071,AC,2002274,XAF,3780766,2001110,20260322,DENIS BOYER
FT0100072,AC,2001019,USD,3701540,2002068,20260322,NOËL PETIT DE LA RAYMOND
FT0100073,AC,2002827,EUR,3087472,2000350,20260322,CÉCILE CARRE DE BOULAY
FT0100074,AC,2002880,EUR,1825848,2002663,20260322,BERNARD FISCHER
FT0100075,AC,2000678,USD,3501514,2000132,20260322,ROGER NORMAND
FT0100076,AC,2002362,XAF,437344,2001235,20260322,ADRIEN LÉGER DU LECOMTE
FT0100077,AC,2002712,XAF,3828709,2000809,20260322,AUDREY MALLET DE LA LEMAÎTRE
FT0100078,AC,2001725,USD,281584,2000578,20260322,CHRISTINE HERNANDEZ
FT0100079,AC,2002627,USD,409957,2002048,20260322,NATHALIE LACOMBE
FT0100080,AC,2002235,USD,1642310,2001819,20260322,CAMILLE BRIAND
FT0100081,AC,2000622,XAF,2371476,2002377,20260322,PHILIPPE LEBON
FT0100082,AC,2000749,USD,162965,2002743,20260322,JÉRÔME-AIMÉ SEGUIN
FT0100083,AC,2002486,EUR,4015993,2001135,20260322,GABRIELLE BRUNET
FT0100084,AC,2000862,EUR,1515415,2001043,20260322,AMÉLIE-ANTOINETTE DAVID
FT0100085,AC,2001853,XAF,4916691,2001287,20260322,ADRIENNE COUSIN
FT0100086,AC,2001686,XAF,3586965,2002636,20260322,ODETTE PICARD
FT0100087,AC,2002138,XAF,980601,2000031,20260322,AURÉLIE-NATHALIE GILLET
FT0100088,AC,2000241,EUR,4658985,2002880,20260322,HENRI BOUCHET
FT0100089,AC,2002136,XAF,3193645,2002443,20260322,LÉON BLIN
FT0100090,AC,2001167,USD,2969198,2002719,20260322,HONORÉ BRUN
FT0100091,AC,2000037,XAF,858495,2002629,20260322,THIERRY BOULAY DE LE ROUX
FT0100092,AC,2001982,XAF,2048121,2000704,20260322,MAGGIE DIALLO-GUÉRIN
FT0100093,AC,2000247,EUR,1088581,2001210,20260322,PHILIPPINE DE LA PETIT
FT0100094,AC,2000618,XAF,4001854,2000162,20260322,BRIGITTE HAMON
FT0100095,AC,2001043,EUR,3532622,2000756,20260322,ZACHARIE MARTINS-CLERC
FT0100096,AC,2001993,EUR,1499226,2002644,20260322,TRISTAN REYNAUD-LOPES
FT0100097,AC,2002568,XAF,3366844,2002938,20260322,JULIEN JOLY
FT0100098,AC,2000638,USD,651207,2000024,20260322,LUC TOUSSAINT
FT0100099,AC,2002624,USD,392521,2002580,20260322,LUCAS DE OLIVEIRA
FT0100100,AC,2001249,XAF,2428891,2002305,20260322,ALFRED JACQUET
FT0100101,AC,2002180,XAF,3964312,2000303,20260322,DAVID LEGRAND
FT0100102,AC,2000005,XAF,514596,2000596,20260322,PHILIPPE BARBIER
FT0100103,AC,2001043,EUR,4697750,2000160,20260322,ZACHARIE MARTINS-CLERC
FT0100104,AC,2000271,EUR,2431755,2002374,20260322,JULIEN DE LA BOULANGER
FT0100105,AC,2001845,EUR,3643858,2002099,20260322,DENIS BOYER
FT0100106,AC,2002106,EUR,573024,2001396,20260322,MANON MORVAN
FT0100107,AC,2002020,USD,2982074,2000828,20260322,DAVID ADAM
FT0100108,AC,2002020,USD,487186,2002571,20260322,DAVID ADAM
FT0100109,AC,2002175,XAF,671134,2001738,20260322,DOMINIQUE BENOIT
FT0100110,AC,2001356,EUR,4718570,2002505,20260322,PÉNÉLOPE DU REGNIER
FT0100111,AC,2002895,EUR,588035,2001730,20260322,HENRIETTE COULON
FT0100112,AC,2000969,XAF,4868557,2001384,20260322,JULIEN JOLY
FT0100113,AC,2002623,EUR,4206130,2001173,20260322,ROBERT LECOMTE
FT0100114,AC,2001946,XAF,786631,2002796,20260322,ANTOINETTE AUBERT
FT0100115,AC,2001855,EUR,4776367,2001447,20260322,GÉRARD MORENO
FT0100116,AC,2000902,USD,1361971,2002600,20260322,WILLIAM DU CLERC
FT0100117,AC,2000837,XAF,4319669,2002814,20260322,MARGAUD RAYNAUD DU DELORME
FT0100118,AC,2000295,USD,4672398,2002696,20260322,ADRIEN LACROIX
FT0100119,AC,2001896,USD,4244565,2000930,20260322,DANIELLE MARTINS DU MAILLOT
FT0100120,AC,2002961,USD,2042220,2001026,20260322,DANIEL WAGNER
FT0100121,AC,2000764,USD,292690,2001937,20260322,ÉLISABETH-MONIQUE BONNET
FT0100122,AC,2000864,EUR,4453401,2002440,20260322,DANIELLE HENRY DE LA LEDOUX
